CountyName,TimeStamp,CovidCases
Clare,2020-03-25,26
Clare,2020-03-26,31
Clare,2020-03-27,34
Clare,2020-03-28,34
Clare,2020-03-29,40
Clare,2020-03-30,45
Clare,2020-03-31,49
Clare,2020-04-01,50
Clare,2020-04-02,54
Clare,2020-04-03,54
Clare,2020-04-04,60
Clare,2020-04-05,65
Clare,2020-04-06,66
Clare,2020-04-07,68
Clare,2020-04-08,69
Clare,2020-04-09,85
Clare,2020-04-10,88
Clare,2020-04-11,98
Clare,2020-04-12,106
Clare,2020-04-13,113
Clare,2020-04-14,119
Clare,2020-04-15,136
Clare,2020-04-16,151
Clare,2020-04-17,153
Clare,2020-04-18,160
Clare,2020-04-19,164
Clare,2020-04-20,165
Clare,2020-04-21,187
Clare,2020-04-22,206
Clare,2020-04-23,207
Clare,2020-04-24,209
Clare,2020-04-25,212
Clare,2020-04-26,229
Clare,2020-04-27,232
Clare,2020-04-28,232
Clare,2020-04-29,236
Clare,2020-04-30,237
Clare,2020-05-01,240
Clare,2020-05-02,245
Clare,2020-05-03,249
Clare,2020-05-04,254
Clare,2020-05-05,281
Clare,2020-05-06,299
Clare,2020-05-07,303
Clare,2020-05-08,303
Clare,2020-05-09,305
Clare,2020-05-10,306
Clare,2020-05-11,308
Clare,2020-05-12,308
Clare,2020-05-13,312
Clare,2020-05-14,314
Clare,2020-05-15,314
Clare,2020-05-16,315
Clare,2020-05-17,315
Clare,2020-05-18,315
Clare,2020-05-19,315
Clare,2020-05-20,319
Clare,2020-05-21,319
Clare,2020-05-22,321
Clare,2020-05-23,322
Clare,2020-05-24,322
Clare,2020-05-25,322
Clare,2020-05-26,322
Clare,2020-05-27,322
Clare,2020-05-28,323
Clare,2020-05-29,323
Clare,2020-05-30,360
Clare,2020-05-31,368
Clare,2020-06-01,369
Clare,2020-06-02,369
Clare,2020-06-03,369
Clare,2020-06-04,368
Clare,2020-06-05,368
Clare,2020-06-06,368
Clare,2020-06-07,368
Clare,2020-06-08,368
Clare,2020-06-09,369
Clare,2020-06-10,369
Clare,2020-06-11,369
Clare,2020-06-12,369
Clare,2020-06-13,369
Clare,2020-06-14,369
Clare,2020-06-15,369
Clare,2020-06-16,369
Clare,2020-06-17,369
Clare,2020-06-18,369
Clare,2020-06-19,369
Clare,2020-06-20,369
Clare,2020-06-21,369
Clare,2020-06-22,369
Clare,2020-06-23,369
Clare,2020-06-24,369
Clare,2020-06-25,369
Clare,2020-06-26,369
Clare,2020-06-27,369
Clare,2020-06-28,369
Clare,2020-06-29,368
Clare,2020-06-30,368
Clare,2020-07-01,368
Clare,2020-07-02,368
Clare,2020-07-03,368
Clare,2020-07-04,368
Clare,2020-07-05,368
Clare,2020-07-06,368
Clare,2020-07-07,368
Clare,2020-07-08,368
Clare,2020-07-09,368
Clare,2020-07-10,369
Clare,2020-07-11,369
Clare,2020-07-12,369
Clare,2020-07-13,369
Clare,2020-07-14,369
Clare,2020-07-15,369
Clare,2020-07-16,369
Clare,2020-07-17,369
Clare,2020-07-18,369
Clare,2020-07-19,369
Clare,2020-07-20,369
Clare,2020-07-21,369
Clare,2020-07-22,369
Clare,2020-07-23,369
Clare,2020-07-24,372
Clare,2020-07-25,372
Clare,2020-07-26,372
Clare,2020-07-27,380
Clare,2020-07-28,380
Clare,2020-07-29,391
Clare,2020-07-30,391
Clare,2020-07-31,391
Clare,2020-08-01,391
Clare,2020-08-02,399
Clare,2020-08-03,399
Clare,2020-08-04,399
Clare,2020-08-05,401
Clare,2020-08-06,401
Clare,2020-08-07,403
Clare,2020-08-08,403
Clare,2020-08-09,406
Clare,2020-08-10,411
Clare,2020-08-11,412
Clare,2020-08-12,421
Clare,2020-08-13,428
Clare,2020-08-14,430
Clare,2020-08-15,432
Clare,2020-08-16,432
Clare,2020-08-17,439
Clare,2020-08-18,441
Clare,2020-08-19,441
Clare,2020-08-20,442
Clare,2020-08-21,443
Clare,2020-08-22,443
Clare,2020-08-23,445
Clare,2020-08-24,451
Clare,2020-08-25,451
Clare,2020-08-26,455
Clare,2020-08-27,457
Clare,2020-08-28,461
Clare,2020-08-29,463
Clare,2020-08-30,465
Clare,2020-08-31,471
Clare,2020-09-01,473
Clare,2020-09-02,474
Clare,2020-09-03,477
Clare,2020-09-04,478
Clare,2020-09-05,479
Clare,2020-09-06,479
Clare,2020-09-07,487
Clare,2020-09-08,487
Clare,2020-09-09,492
Clare,2020-09-10,495
Clare,2020-09-11,497
Clare,2020-09-12,502
Clare,2020-09-13,503
Clare,2020-09-14,505
Clare,2020-09-15,508
Clare,2020-09-16,510
Clare,2020-09-17,519
Clare,2020-09-18,523
Clare,2020-09-19,529
Clare,2020-09-20,531
Clare,2020-09-21,536
Clare,2020-09-22,539
Clare,2020-09-23,540
Clare,2020-09-24,543
Clare,2020-09-25,546
Clare,2020-09-26,558
Clare,2020-09-27,562
Clare,2020-09-28,568
Clare,2020-09-29,583
Clare,2020-09-30,600
Clare,2020-10-01,609
Clare,2020-10-02,626
Clare,2020-10-03,643
Clare,2020-10-04,675
Clare,2020-10-05,707
Clare,2020-10-06,727
Clare,2020-10-07,758
Clare,2020-10-08,779
Clare,2020-10-09,838
Clare,2020-10-10,868
Clare,2020-10-11,880
Clare,2020-10-12,929
Clare,2020-10-13,951
Clare,2020-10-14,964
Clare,2020-10-15,976
Clare,2020-10-16,1008
Clare,2020-10-17,1030
Clare,2020-10-18,1063
Clare,2020-10-19,1089
Clare,2020-10-20,1099
Clare,2020-10-21,1119
Clare,2020-10-22,1149
Clare,2020-10-23,1161
Clare,2020-10-24,1182
Clare,2020-10-25,1214
Clare,2020-10-26,1229
Clare,2020-10-27,1246
Clare,2020-10-28,1265
Clare,2020-10-29,1279
Clare,2020-10-30,1287
Clare,2020-10-31,1302
Clare,2020-11-01,1311
Clare,2020-11-02,1313
Clare,2020-11-03,1320
Clare,2020-11-04,1334
Clare,2020-11-05,1355
Clare,2020-11-06,1364
Clare,2020-11-07,1372
Clare,2020-11-08,1379
Clare,2020-11-09,1386
Clare,2020-11-10,1391
Clare,2020-11-11,1395
Clare,2020-11-12,1403
Clare,2020-11-13,1410
Clare,2020-11-14,1413
Clare,2020-11-15,1441
Clare,2020-11-16,1445
Clare,2020-11-17,1453
Clare,2020-11-18,1458
Clare,2020-11-19,1465
Clare,2020-11-20,1472
Clare,2020-11-21,1478
Clare,2020-11-22,1481
Cork,2020-03-21,104
Cork,2020-03-22,123
Cork,2020-03-23,133
Cork,2020-03-24,154
Cork,2020-03-25,171
Cork,2020-03-26,184
Cork,2020-03-27,208
Cork,2020-03-28,217
Cork,2020-03-29,238
Cork,2020-03-30,255
Cork,2020-03-31,272
Cork,2020-04-01,292
Cork,2020-04-02,304
Cork,2020-04-03,343
Cork,2020-04-04,362
Cork,2020-04-05,421
Cork,2020-04-06,431
Cork,2020-04-07,472
Cork,2020-04-08,503
Cork,2020-04-09,581
Cork,2020-04-10,648
Cork,2020-04-11,730
Cork,2020-04-12,780
Cork,2020-04-13,829
Cork,2020-04-14,916
Cork,2020-04-15,945
Cork,2020-04-16,979
Cork,2020-04-17,1028
Cork,2020-04-18,1047
Cork,2020-04-19,1053
Cork,2020-04-20,1077
Cork,2020-04-21,1087
Cork,2020-04-22,1096
Cork,2020-04-23,1103
Cork,2020-04-24,1110
Cork,2020-04-25,1125
Cork,2020-04-26,1126
Cork,2020-04-27,1136
Cork,2020-04-28,1146
Cork,2020-04-29,1154
Cork,2020-04-30,1156
Cork,2020-05-01,1164
Cork,2020-05-02,1175
Cork,2020-05-03,1177
Cork,2020-05-04,1192
Cork,2020-05-05,1197
Cork,2020-05-06,1199
Cork,2020-05-07,1205
Cork,2020-05-08,1207
Cork,2020-05-09,1232
Cork,2020-05-10,1234
Cork,2020-05-11,1238
Cork,2020-05-12,1249
Cork,2020-05-13,1256
Cork,2020-05-14,1346
Cork,2020-05-15,1352
Cork,2020-05-16,1361
Cork,2020-05-17,1372
Cork,2020-05-18,1376
Cork,2020-05-19,1386
Cork,2020-05-20,1398
Cork,2020-05-21,1420
Cork,2020-05-22,1428
Cork,2020-05-23,1438
Cork,2020-05-24,1440
Cork,2020-05-25,1451
Cork,2020-05-26,1458
Cork,2020-05-27,1464
Cork,2020-05-28,1472
Cork,2020-05-29,1477
Cork,2020-05-30,1514
Cork,2020-05-31,1517
Cork,2020-06-01,1517
Cork,2020-06-02,1521
Cork,2020-06-03,1527
Cork,2020-06-04,1528
Cork,2020-06-05,1529
Cork,2020-06-06,1529
Cork,2020-06-07,1529
Cork,2020-06-08,1531
Cork,2020-06-09,1532
Cork,2020-06-10,1533
