ID,Name,acc_CountyName
1623,Glasha,Waterford
1624,Le Cheile,Waterford
1625,Sommerville,Waterford
1626,Tir na Nog,Waterford
1627,Avonlodge BB,Waterford
1628,Glenart House,Waterford
1629,Fern Hill,Waterford
1630,Sea Court,Waterford
1631,Norlands,Waterford
1632,Cloneen,Waterford
1633,Samuels Heritage,Waterford
1634,Castleview House,Waterford
1635,Hillview Lodge,Waterford
1636,Dawn B  B,Waterford
1637,Belmont House,Waterford
1638,Ashleigh,Waterford
1639,Greenfield House,Cork
1640,Reades Farmhouse BB,Kilkenny
1641,Aisling BB,Kilkenny
1642,Benown House,Westmeath
1643,Riverview House,Westmeath
1644,Shelmalier House,Westmeath
1645,Inny Bay BB,Westmeath
1646,Four Seasons,Westmeath
1647,Burren Lodge,Westmeath
1648,Glasson Stone Lodge,Westmeath
1649,Lough Bishop House,Westmeath
1650,Hounslow House,Westmeath
1651,Woodlands Farm,Westmeath
1652,Novara,Westmeath
1653,Lough Owel Lodge,Westmeath
1654,Marlinstown Court,Westmeath
1655,Glenmore House,Westmeath
1656,Mornington,Westmeath
1657,Glendine Country House,Wexford
1658,Marsh Mere Lodge,Wexford
1659,Arthurs Rest,Wexford
1660,Meadowside BB,Wexford
1661,Kilmokea Country Manor,Wexford
1662,Carrig House,Wexford
1663,Woodbrook House,Wexford
1664,Stone Lodge Bed and Breakfast,Wexford
1665,Kilbora BB,Wexford
1666,Perrymount Country Home,Wexford
1667,St Thereses,Wexford
1668,Woodlands Country House,Wexford
1669,Carraig View,Wexford
1670,Harbour Lights,Wexford
1671,Groveside Farm,Wexford
1672,Glendower House,Wexford
1673,Blackrath Farmhouse,Kildare
1674,Marianella,Wexford
1675,Old Orchard Lodge,Wexford
1676,Ashley Lodge,Wexford
1677,Clover Lawn,Wexford
1678,OLearys Farm House BB,Wexford
1679,River Valley Farmhouse,Wexford
1680,Rathaspeck Manor,Wexford
1681,Killurin Lodge,Wexford
1682,Killiane Castle Country House  Farm,Wexford
1683,Rockville BB,Wexford
1684,Maple Lodge,Wexford
1685,Ballinclea House,Wicklow
1686,Lettermore,Wicklow
1687,Glen Hill,Wexford
1688,Ard na Greine,Tipperary
1689,Carriglen,Wicklow
1690,Mount Usher View,Wicklow
1691,Macreddin Rock BB,Wicklow
1692,Ferndale,Wicklow
1693,Portumna House,Galway
1694,Coolakay House,Wicklow
1695,Atlantic Haven,Sligo
1696,Beech Lodge,Wicklow
1697,Tynte House,Wicklow
1698,Bracken,Wicklow
1699,Pinewood Lodge,Wicklow
1700,Kyrina,Wicklow
1701,Carbery Cottage Guest Lodge,Cork
1702,Abhainn Mor BB,Wicklow
1703,Carmels,Wicklow
1704,Kyle Farmhouse,Wicklow
1705,Glen Na Smole,Wicklow
1706,Kilmantin House,Wicklow
1707,Sea Crest Farmhouse,Clare
1708,Glengorse,Wicklow
1709,McCabes BB,Clare
1710,Palm Lodge,Cork
1711,Island View House,Galway
1712,Derrbehy House,Roscommon
1713,Glenraha Farmhouse,Waterford
1714,Fortfield Farm,Clare
1715,Laragh House,Kilkenny
1716,Lismar Guesthouse,Louth
1717,Four Seasons Hotel,Louth
1718,Vaughan Lodge,Clare
1719,Manor West Hotel Spa  Leisure Club,Kerry
1720,Clayton Hotel Cork City,Cork
1721,Brooklane Hotel,Kerry
1722,Inish Beg Estate,Cork
1723,Herb Cottages at Kilgraney House,Carlow
1724,The Cottage,Cavan
1725,Island House,Cavan
1726,Lakeside Cottage,Cavan
1727,Trinity Island Lodge,Cavan
1728,Orchard View Holiday Home,Cavan
1729,Cassidy Holiday Homes,Cavan
1730,Diamond Townhouse,Cavan
1731,Swallows Return,Cavan
1732,Cliff View,Clare
1733,Country Cottages,Clare
1734,No 5 Greenfield Park,Clare
1735,Riverbank Cottages,Clare
1736,Strasburgh Manor,Clare
1737,Eden Lodge,Clare
1738,Mount Cashel Lodge,Clare
1739,Ballyvaughan Cottages,Clare
1740,Ballyportry Castle,Clare
1741,Droumkeal Cottage,Cork
1742,Castletownshend Cottages,Cork
1743,The Demesne,Cork
1744,Pinewood Cottage,Cork
1745,Park South Cottage,Cork
1746,Beara Holiday Homes,Cork
1747,The Farm Cottages,Cork
1748,Lahanaght House,Cork
1749,Rolfs Holiday Cottages,Cork
1750,Bere Island Holiday Home,Cork
1751,Ballinacurra House,Cork
1752,25 Silver Strand,Cork
1753,Tig Na Failte,Cork
1754,Number 4 Castle End,Cork
1755,Bruckless House Gate Lodge,Donegal
1756,Laffertys Holiday Homes,Donegal
1757,Ardroe Cottage,Donegal
1758,Donegal Estuary Holiday Homes,Donegal
1759,The Whins Cottage,Donegal
1760,Glackin,Donegal
1761,80 Elmwood Downs,Donegal
1762,Macalla Cottage,Donegal
1763,Cornagill Cottage,Donegal
1764,The Barn,Donegal
1765,Big Jimmys Cottage,Donegal
1766,The Old Courthouse,Donegal
1767,Frewin Cottage,Donegal
1768,Pine View,Donegal
1769,Bunbeg Holiday Homes,Donegal
1770,Sams Cottage,Donegal
1771,Arasain Bhalor,Donegal
1772,Cavangarden Court Self Catering,Donegal
1773,Tuleen,Donegal
1774,Dromore House,Donegal
1775,Seabreeze  Kinnegar Cottages,Donegal
1776,Millstone Cottages,Donegal
1777,Carpenters Self Catering,Donegal
1778,Kittys Cottage  The Moor Cottage,Donegal
1779,Seaview Self Catering,Dublin
1780,Rathmines Dublin 6,Dublin
1781,Harap Farm,Dublin
1782,9 Baggot Rath House No. 8  No. 9,Dublin
1783,1st Floor Apartment,Dublin
1784,Marygrove Court,Galway
1785,The White Cottage,Galway
1786,Cloch na Scith Thatched Cottage,Galway
1787,Herons Rest,Galway
1788,Crumlin Park House,Galway
1789,Apartment Number 2 Kingshill,Galway
1790,Grattan House Holiday Apartments,Galway
1791,Park Lodge,Galway
1792,No 9 Marygrove Holiday Homes,Galway
1793,Lisdonagh Self Catering,Galway
1794,Lighthouse Lodge,Galway
1795,Cuinne,Galway
1796,Arus Grattan,Galway
1797,Arbutus Lodge Apartments,Kerry
1798,Kerry Cottages,Kerry
1799,Dromatouk Cottage,Kerry
1800,The Alder,Kerry
1801,Dans Cottage,Kerry
1802,Garveys Cottage,Kerry
1803,Sea View Valentia Island Cottage,Kerry
1804,Lodgewood Cottage,Kerry
1805,2 Dromhall Heights,Kerry
1806,Redwood Apartments,Kerry
1807,Fenton House,Kerry
1808,Portmagee Seaside Cottages,Kerry
1809,Atlantic Waves Cottage,Kerry
1810,Brambles Farm Cottage,Kerry
1811,Ivy House,Kerry
1812,Glenview Cottage,Kerry
1813,Scorid Cottage,Kerry
1814,Westland Holiday Homes,Kerry
1815,Gleann Dearg,Kerry
1816,Cathair Gheal,Kerry
1817,Dromville House,Kerry
1818,Ashwood House,Kerry
1819,Teach Dairbhre,Kerry
1820,Courtyard Cottages,Kerry
1821,Drumville,Kerry
1822,Beech Lodge,Kildare
1823,Ashwell Cottage,Kildare
1824,Killure Lodge,Kilkenny
1825,Mount Brandon,Kilkenny
1826,The Coach Yard,Kilkenny
1827,Ballykeeffe Farmhouse,Kilkenny
1828,Carbine Bridge House,Kilkenny
1829,Hillview Farm,Laois
1830,The Old Rectory,Laois
1831,The Spires,Laois
1832,Brielle House,Laois
1833,Parkview Cottage,Leitrim
1834,Drumkeeran Holiday Homes,Leitrim
1835,Springfield Castle,Limerick
1836,Earl House,Limerick
1837,Fanningstown Castle,Limerick
1838,Ballyteigue House,Limerick
1839,Longford Country House Self Catering,Longford
1840,Nancys Cottage,Louth
1841,Beachcombers Cottage,Louth
1842,Suan na Mara,Mayo
1843,Kelly Cottage,Mayo
1844,Rockview House,Mayo
1845,Green Acres,Mayo
1846,Bunlough Strand Bungalow,Mayo
1847,The Harbour Mill,Mayo
1848,Achill Cottages,Mayo
1849,Sweeney Self Catering,Mayo
1850,Acorn Cottage and Clew Bay Cottage,Mayo
1851,Island Winds,Mayo
1852,Horse House One  The Potting Shed,Mayo
1853,12 Mulranny Holiday Village,Mayo
1854,Achill Stone Cottage,Mayo
1855,Curran,Meath
1856,McKeevers Mill Holiday Homes,Meath
1857,Gaulstown House,Meath
1858,The Cottages Ireland,Meath
1859,Slane Farm Cottages,Meath
1860,Lisanisk House,Monaghan
1861,An Carraig,Monaghan
1862,Dillons Cottage,Monaghan
1863,Riverhaven Log Cabins  Riversdale Log House,Roscommon
1864,The Waters Edge,Sligo
1865,Shramore Lodge,Sligo
1866,Beach House,Sligo
1867,2 Cluainn na mB,Sligo
1868,Orchard Cottage,Sligo
1869,Bansha Castle,Tipperary
1870,Killaghy Castle,Tipperary
1871,Cornode - Lakeside,Tipperary
1872,Lorrha Cottages,Tipperary
1873,Fuchsia Lane Farm,Tipperary
1874,Seaspray  Radharc Na Farraige,Waterford
1875,Salterbridge Gatelodge - The Irish Landmark Trust,Waterford
1876,The Lodge,Waterford
1877,Carnakilla Cottages,Westmeath
1878,"Seascape, Fethard-on-Sea",Wexford
1879,The Cottage,Wexford
1880,Rose Cottage,Wexford
1881,Killiane Castle Courtyard Apartments,Wexford
1882,12 Glenmalure Pines,Wicklow
1883,Glendale Holiday Cottages,Wicklow
1884,Abhainn R Cottages,Wicklow
1885,Scandinavian Lodge,Wicklow
1886,Wicklow Head Lighthouse - Irish Landmark Trust,Wicklow
1887,Corralea Court,Galway
1888,Viking Hotel Waterford,Waterford
1889,Bere Island Lodge,Cork
1890,Kilgarriffe Heights,Cork
1891,Abbeyville House,Cork
1892,Rock View,Cork
1893,Anchorage,Cork
1894,Clifden White Heather House,Galway
1895,Lakeshore House,Galway
1896,Lios-Inis,Galway
1897,Derryowen,Galway
1898,Woodlands,Galway
1899,Greenfields Farmhouse,Kerry
1900,Ceann Sibeal,Kerry
1901,Lurraga House,Kerry
1902,Taobh Coille,Kerry
1903,Rockmount,Kerry
1904,Kilcar,Kildare
1905,Allen Centre,Leitrim
1906,Leim Siar,Mayo
1907,Clocan Bed and Breakfast,Mayo
1908,Abbey House BB,Wexford
1909,Rockfield,Wicklow
1910,Ashgrove BB,Wicklow
1911,Shalom BB,Louth
1912,Louth Hall BB,Louth
1913,Desmond House,Cork
1914,Sandyhills BB,Dublin
1915,Newlands Country House,Kilkenny
1916,Church View BB,Sligo
1917,The Blue Door,Wexford
1918,The Heritage,Laois
1919,Hawthorn Lodge BB,Clare
1920,Monart Destination Spa,Wexford
1921,Claregalway Hotel,Galway
1922,The Central Hotel Tullamore,Offaly
1923,Newgrange Lodge,Meath
1924,The Arches,Galway
1925,Glenview Lodge,Limerick
1926,Seabreak,Kerry
1927,Inishmulclohy Lodge,Sligo
1928,Otway Beach Cottages - Cottage,Donegal
1929,Hillview Farm House BB,Clare
1930,White Strand BB,Donegal
1931,Trabolgan Holiday Village,Cork
1932,East Clare Holiday Village,Clare
1933,Castlewood House,Kerry
1934,Innisfallen Hotel,Kerry
1935,The Holiday Hotel,Galway
1936,Clanard Court Hotel,Kildare
1937,The Huntsman Inn,Galway
1938,Castlerosse Park Resort,Kerry
1939,Markree Castle,Sligo
1940,Clayton Hotel Sligo,Sligo
1941,Donegal Manor,Donegal
1942,Ballyliffin Lodge  Spa,Donegal
1943,Great National Ballykisteen Golf Hotel,Tipperary
1944,Lyrath Estate,Kilkenny
1945,Castle Gardens Holiday Homes,Clare
1946,Hotel Newport,Mayo
1947,Dunkerron Holiday Homes,Kerry
1948,Ring of Kerry Cottages,Kerry
1949,Blarney Golf Resort,Cork
1950,The Croke Park Hotel,Dublin
1951,Trim Castle Hotel,Meath
1952,The Glasshouse,Sligo
1953,Shanagarry,Cork
1954,The d Hotel,Louth
1955,The g Hotel  Spa,Galway
1956,Br Hostel,Cork
1957,Talbot Carlow,Carlow
1958,Pier Head Hotel Spa and Leisure Centre,Sligo
1959,Court Yard Hotel,Kildare
1960,Hilton Dublin,Dublin
1961,The Filte Hotel,Kerry
1962,Decoy Country Cottages,Meath
1963,Dunboyne Castle Hotel and Spa,Meath
1964,The Benwiskin Centre,Sligo
1965,Bunratty Manor Hotel,Clare
1966,Rose Lodge Guesthouse,Cork
1967,The Shamrock Inn Hotel,Clare
1968,The Atlantic Hotel,Clare
1969,The Western Hotel,Galway
1970,Clayton Hotel Liffey Valley,Dublin
1971,Travelodge Dublin Airport Ballymun,Dublin
1972,Maudlins House Hotel,Kildare
1973,stn Ceann Sibal,Kerry
1974,Mulranny Park Hotel,Mayo
1975,Broadhaven Bay Hotel,Mayo
1976,Mount Wolseley Hotel Spa  Golf Resort,Carlow
1977,Pondlodge Holiday Cottages,Cork
1978,Premier Inn Dublin Airport,Dublin
1979,Fota Island Hotel and Spa,Cork
1980,Newbury Hotel,Westmeath
1981,Hotel Doolin,Clare
1982,The Westgrove Hotel,Kildare
1983,Adare Manor Villas and Golf Resort,Limerick
1984,Mount Falcon Estate,Mayo
1985,Clayton Whites Hotel,Wexford
1986,Cahermore Holiday Village,Sligo
1987,Scholars Townhouse Hotel,Louth
1988,Ballykisteen Holiday Cottages,Tipperary
1989,Anglers Rest Hotel,Galway
1990,Airport View House Hotel,Dublin
1991,Maldron Hotel Smithfield,Dublin
1992,Westenra Arms Hotel,Monaghan
1993,Maldron Hotel Limerick,Limerick
1994,Maldron Hotel Portlaoise,Laois
1995,The Twelve,Galway
1996,Ferrybank Caravan Park,Wexford
1997,Amber Springs Hotel  Health Spa,Wexford
1998,Waterville Holiday Cottages,Kerry
1999,Coachmans Hotel,Kerry
2000,Cooneys Hotel,Longford
2001,Rosquil House,Kilkenny
2002,House Dublin,Dublin
2003,Station House Hotel Letterkenny,Donegal
2004,Carlton Hotel Dublin Airport,Dublin
2005,Carlton Blanchardstown,Dublin
2006,"Knightsbrook Hotel, Spa and Golf Resort",Meath
2007,The Marina Hotel,Leitrim
2008,Salthill Caravan Park,Galway
2009,The Gandon Inn,Laois
2010,The Grand Hotel,Cork
2011,Valentia Holiday Homes,Kerry
2012,Bunratty Haven,Clare
2013,Davmar,Cork
2014,Coomassig View,Kerry
2015,Greese View House,Kildare
2016,Deerpark Manor BB,Mayo
2017,Abbey View BB,Tipperary
2018,Mount Falcon Holiday Cottages,Mayo
2019,Coosan Cottage Ecolodge Hotel,Westmeath
2020,Doonbeg Holiday Cottages,Clare
2021,Clara Cottages,Donegal
2022,Teachin Choinn,Donegal
2023,Harkaway Cottages,Cork
2024,Alder Cottage,Donegal
2025,Gaultier Lodge,Waterford
2026,Lough Ree Haven,Westmeath
2027,Eagle View,Kildare
2028,Abbey Farm Holiday Homes,Cork
2029,River Forest Hotel,Kildare
2030,Tullyarvan Mill Hostel,Donegal
2031,15 Morrison Terrace,Mayo
2032,Mullagh Cottage - rd Aoibhinn,Mayo
2033,Kellys Cottage,Roscommon
2034,The Welcome Lodge,Kilkenny
2035,Knockanore Farm Lodges,Kilkenny
2036,Castle Quay,Cork
2037,Montenotte Hotel,Cork
2038,Ard Carraig Holiday Homes,Kerry
2039,Castlemartyr Holiday Lodges  Mews,Cork
2040,"Westport Plaza Hotel Spa, Leisure and Conference",Mayo
2041,Lakeside Holiday Cottages,Clare
2042,The Avenue Holiday Cottages,Kerry
2043,Cluain Raite,Clare
2044,Castle Leslie Village  Cottages,Monaghan
2045,Montenotte Holiday Apartments,Cork
2046,Kinsale Hotel  Spa,Cork
2047,Castle Dargan Hotel,Sligo
2048,Clonmel Park Hotel,Tipperary
2049,Metro Hotel Dublin Airport,Dublin
2050,Quality Youghal Holiday Homes,Cork
2051,Farren Lee Holiday Cottages,Cork
2052,Kenmare Bay Cottages,Kerry
2053,The River Lee Hotel,Cork
2054,Emmaus Centre,Dublin
2055,Knightsbrook Holiday Cottages,Meath
2056,Abbey Court Hotel Lodges,Tipperary
2057,9 Pine Cove,Waterford
2058,Imeall na Mara Seashore House,Kerry
2059,Holiday Inn Express Dublin Airport,Dublin
2060,Avlon House BB,Carlow
2061,The Forge,Dublin
2062,Lough Rynn Castle,Leitrim
2063,The McWilliam Park Hotel,Mayo
2064,Cuisle Accessible Holiday Resort,Roscommon
2065,Baileys Hotel Cashel,Tipperary
2066,An Grianan Hotel,Donegal
2067,Farnham Estate Spa  Golf Resort,Cavan
2068,Buckleys Self Catering,Cork
2069,Ballykealey Court,Carlow
2070,CityNorth Hotel,Meath
2071,Doonbeg The Links,Clare
2072,Fern Cottage,Donegal
2073,8 The Estuary,Sligo
2074,Aspect Hotel Dublin Parkwest,Dublin
2075,Rossmore Manor,Donegal
2076,Kilkenny House Hotel,Kilkenny
2077,Beaufort Lodge,Kerry
2078,Tralia House,Kerry
2079,Pond House,Cork
2080,The Ferris Wheel,Kerry
2081,Aran Islands Hotel,Galway
2082,The Ellison,Mayo
2083,Magherabeg Caravan Park,Donegal
2084,Strandsend House,Kerry
2085,Yellow House Bed  Breakfast,Meath
2086,Fitzwilton Hotel,Waterford
2087,Naas Court Hotel,Kildare
2088,Parkview Hotel,Wicklow
2089,Old Boley Country House,Wexford
2090,Cork International Hotel,Cork
2091,Earls Court Hotel,Kerry
2092,Murphys Hotel,Sligo
2093,Athlone Springs Hotel,Westmeath
2094,The George Boutique Hotel,Limerick
2095,Breaffy Woods Hotel,Mayo
2096,Pillo Hotel Ashbourne,Meath
2097,Inishbofin House Hotel,Galway
2098,Maritime Hotel,Cork
2099,Park Hotel Kiltimagh,Mayo
2100,Moyvalley Hotel,Kildare
2101,Fota Island Lodges,Cork
2102,Sneem Hotel,Kerry
2103,Lawlors,Kildare
2104,Arthurs Lodge Wood,Kerry
2105,Currane Lodge,Kerry
2106,Maldron Hotel Tallaght,Dublin
2107,The Lodge At Castle Leslie Estate,Monaghan
2108,Clayton Hotel,Galway
2109,Doire Farm Cottages,Kerry
2110,Ethan House BB,Cork
2111,The Shelbourne,Dublin
2112,The Swallows Nest,Sligo
2113,Powerscourt Hotel Resort Spa,Wicklow
2114,The Dolphin Hotel and Restaurant,Galway
2115,1 Acres Cove,Leitrim
2116,9 Tomies Close,Kerry
2117,Glashaus Hotel,Dublin
2118,The Killeshin Hotel,Laois
2119,Waterford Castle Garden Lodges  Golf Resort,Waterford
2120,Limerick Strand Hotel,Limerick
2121,Kinnitty Castle Hotel,Offaly
2122,Seafield Hotel  Spa Resort,Wexford
2123,Friary Brae Cottage,Donegal
2124,Crowne Plaza Dundalk,Louth
2125,Castlemartyr Resort,Cork
2126,Absolute Hotel Limerick,Limerick
2127,The Savoy Hotel,Limerick
2128,The Rose Hotel,Kerry
2129,Downings Coastguard Cottages,Donegal
2130,Corks Vienna Woods Holiday Cottages,Cork
2131,Royal Marine Hotel,Dublin
2132,Hotel Castlepollard,Westmeath
2133,Radisson Blu Royal Hotel Dublin,Dublin
2134,Rockhill Holiday Park,Donegal
2135,Merrion Mews,Dublin
2136,Louis Fitzgerald Hotel,Dublin
2137,The Old Stable Mews,Monaghan
2138,Ballybunion Golf Holiday Homes,Kerry
2139,Dungimmon House,Cavan
2140,Summer Hill,Cork
2141,Ocean Breeze,Donegal
2142,The Rectory Deerpark,Offaly
2143,Rosemount House,Wexford
2144,Loughdan House,Wicklow
2145,Kettles Country House Hotel,Dublin
2146,Berehaven Lodge,Cork
2147,Kingswood Hotel Citywest,Dublin
2148,The Ice House Hotel,Mayo
2149,Pembroke Hotel,Kilkenny
2150,Charleville Park Hotel  Leisure Club,Cork
2151,Annebrook House Hotel,Westmeath
2152,Shearwater Hotel,Galway
2153,Moycarn Lodge and Marina,Galway
2154,Dublin Citi Hotel,Dublin
2155,Hilton Dublin Kilmainham,Dublin
2156,Deebert House Hotel,Limerick
2157,"Lough Eske Castle, a Solis Hotel  Spa",Donegal
2158,Delphi Resort,Galway
2159,Jacobs Well BB,Wicklow
2160,Grove Lodge,Monaghan
2161,Hillview House,Dublin
2162,Leeson Bridge House,Dublin
2163,Coach House Hotel,Galway
2164,Edencrest,Cork
2165,Ashford Cottages,Wicklow
2166,The Clonakilty Hotel,Cork
2167,Sheraton Athlone Hotel,Westmeath
2168,Carrown Tober House,Galway
2169,Forest Park House,Roscommon
2170,12 Monterey Court,Galway
2171,The Arches,Galway
2172,Glengarriff Park Hotel  Spa,Cork
2173,Limestone Lodge,Cavan
2174,Park Place Apartments,Kerry
2175,Sleepzone,Galway
2176,Glenview,Leitrim
2177,Tankardstown House,Meath
2178,Oughterard Holiday Hostel and Angling Centre,Galway
2179,Doolin Riverside Caravan and Camping Park,Clare
2180,Kippure Lodge,Wicklow
2181,The Glencarn Hotel,Monaghan
2182,Castle Hostel,Kerry
2183,Kilronan Castle Estate and Spa,Roscommon
2184,Kathleens Country House,Kerry
2185,Keenans of Tarmonbarry,Roscommon
2186,The Burren Hostel,Clare
2187,Atlantic View Cottages,Clare
2188,Doherty Farm Holiday Homes,Donegal
2189,Number 2 Glenvale Cottage,Mayo
2190,Loop Head Lightkeepers Cottage,Clare
2191,Glen of Aherlow Caravan  Camping Park,Tipperary
2192,Carlingford Viewpoint,Louth
2193,Longbowe,Kilkenny
2194,Cliff House Hotel,Waterford
2195,Diamond Coast Hotel,Sligo
2196,ONeill Holiday Homes,Galway
2197,Crowne Plaza Blanchardstown,Dublin
2198,Seaview House,Kerry
2199,Kilcatten Lodge,Cork
2200,The Woodland Villas at Parknasilla Resort  Spa,Kerry
2201,Courtyard Lodges at Parknasilla,Kerry
2202,Great National Hotel Ballina,Mayo
2203,Watch House Cottage Number 4,Kerry
2204,Rossroe Lodge,Galway
2205,Strand View Cottages,Cork
2206,Shirley Arms Hotel,Monaghan
2207,The Manor,Wicklow
2208,Rafters BB,Sligo
2209,Westport Holiday Apartments,Mayo
2210,Hillcrest Guesthouse,Tipperary
2211,Whitechurch House,Waterford
2212,Hampton Hotel,Dublin
2213,Abbeyglen Cottage,Dublin
2214,Carlingford House,Louth
2215,Portbeg Holiday Homes at Donegal Bay,Donegal
2216,Granvue House Hotel,Louth
2217,Barrow View Bed and Breakfast,Laois
2218,Almanii BB,Dublin
2219,Eagles Nest Bed  Breakfast,Donegal
2220,Kilians Lodge Hotel,Cavan
2221,Ard Nahoo Eco Retreat,Leitrim
2222,Jameson Court,Galway
2223,The Cottage at the Crossroads,Mayo
2224,Armada Lodge Apartments,Sligo
2225,The Millhouse,Meath
2226,No 1 Pery Square Hotel  Spa,Limerick
2227,Anchor Bay Cottages,Cork
2228,Killarney Haven Holiday Suites,Kerry
2229,Castle Leslie Estate,Monaghan
2230,Townsend House,Offaly
2231,Hazel Cottage,Limerick
2232,Kilronan Castle Holiday Cottages,Roscommon
2233,Ard R House Hotel,Galway
2234,Maghery,Donegal
2235,Ballymacarbry Hostel,Waterford
2236,Martello Tower,Dublin
2237,Rowan Tree,Clare
2238,Hatters Garden,Cork
2239,MacGabhainns Backpacker Hostel,Kilkenny
2240,Bramble Rock,Wicklow
2241,Elthorne House,Donegal
2242,Number 31,Dublin
2243,Snoozles,Galway
2244,The Old Imperial Hotel,Cork
2245,Killarney House,Kerry
2246,5 Viking Wharf,Cork
2247,2 Millfield House,Kerry
2248,Castle View,Kerry
2249,"2, 9  13 Mountain View",Kerry
2250,"The Anvil Bar, Restaurant and Accommodation",Kerry
2251,Ballinwillin House,Cork
2252,Adare Farm Cottage,Limerick
2253,An Sgn Guesthouse,Cork
2254,Kinvara Guesthouse,Galway
2255,Mulgrave Lodge,Dublin
2256,Lough Rea Hotel  Spa,Galway
2257,Inchiquin House,Clare
2258,Frontier Hotel,Donegal
2259,Gort na gCapall Cottage,Tipperary
2260,Ballyblood Lodge and Grannys Cottage,Clare
2261,The Gibson Hotel,Dublin
2262,Youngs Self Catering,Tipperary
2263,Island Heights,Kerry
2264,Viking House Hotel,Donegal
2265,The Abbey Hotel,Dublin
2266,Camac Valley Tourist Caravan  Camping Park,Dublin
2267,Beechwood,Cork
2268,Killinagh House,Cavan
2269,Step House,Carlow
2270,Mountain View,Waterford
2271,Nyali Lodge,Cork
2272,Inisbofin Self-Catering,Galway
2273,Bolands,Kerry
2274,Wexford Boutique Town House,Wexford
2275,Fernhill,Mayo
2276,The Courtyard - Sheen Falls Country Club,Kerry
2277,Valley Lodge Farm Hostel,Mayo
2278,Strandhill Lodge and Suites,Sligo
2279,Michaeleens Manor BB,Mayo
2280,Silver Tassie Hotel,Donegal
2281,Slieve League Lodge,Donegal
2282,The Red Door Country House,Donegal
2283,"Tannery Restaurant, Townhouse and Cookery School",Waterford
2284,Newtown Farm Country House,Waterford
2285,Hillview,Wicklow
2286,Bradleys Cottage Creeslough,Donegal
2287,Cooley Lodge,Louth
2288,Perryville House,Cork
2289,Highgrove House,Waterford
2290,Audley House,Cork
2291,Ballyfin Demesne,Laois
2292,The Sleepy Camel,Kerry
2293,Hollyberry House,Clare
2294,Muckno Lodge,Monaghan
2295,Sonas,Galway
2296,Island View House,Galway
2297,Cloverfox Connemara,Galway
2298,Phoenix Park Hotel,Dublin
2299,The Waterfront Hotel,Cork
2300,Arranmore Holiday Village,Donegal
2301,Cryans Hotel on the Quay,Leitrim
2302,Carrigmore Farm,Limerick
2303,The Old School,Clare
2304,Twin Peaks BB,Clare
2305,Tranaun House,Mayo
2306,Talbot Hotel,Mayo
2307,Fallons,Galway
2308,Riverside Cottage,Clare
2309,7 Blackberry Glade,Wicklow
2310,Ardawn House,Galway
2311,Orchid House,Clare
2312,Crookhaven,Galway
2313,Coill Dara House,Sligo
2314,Lough Bawn House,Westmeath
2315,An Caladh Spainneach,Kerry
2316,Teach Cruachan,Mayo
2317,Ferndale,Mayo
2318,Generator Hostel Dublin,Dublin
2319,Sea Mist,Galway
2320,Bayview,Galway
2321,Burkes Mulbur House,Kerry
2322,Filte BB,Mayo
2323,Corrib House,Galway
2324,Alder Cottage,Leitrim
2325,Teach Na Teamhrach,Meath
2326,Darragh Cottages,Limerick
2327,Westport Country Lodge Hotel,Mayo
2328,Lough Allen Hotel  Spa,Leitrim
2329,Go Explore Hostel  Sailors Bar,Mayo
2330,Horetown House,Wexford
2331,Tawnylust Lodge,Leitrim
2332,Dromquinna Manor,Kerry
2333,Clongibbon House,Cork
2334,Coastline House,Kerry
2335,Ballymalone More,Clare
2336,Kilronan House,Roscommon
2337,Lynes Cottages,Kerry
2338,Tigh Mhic,Mayo
2339,Travelodge Stephens Green,Dublin
2340,Teac Chondai Thatch cottage,Donegal
2341,The Connemara Hostel Sleepzone,Galway
2342,Atlantic N Riverside,Sligo
2343,Ennisdrum House,Mayo
2344,Shady Hollow BB,Cork
2345,Beach Haven,Waterford
2346,Magouhy House,Clare
2347,Clonabreany Courtyard,Meath
2348,MDIs Home from Home,Dublin
2349,Southbeach Apartments,Wexford
2350,Lakelodge,Westmeath
2351,Rountrees Hill,Cavan
2352,The Old Rectory Apartments - Loft,Leitrim
2353,The Cliff at Lyons,Kildare
2354,Beechlane Farmhouse,Kilkenny
2355,Glen Gat House,Louth
2356,Aaron Vale,Louth
2357,St Bridgets BB,Donegal
2358,Hideaway at Foxhollow,Meath
2359,The Marker Hotel,Dublin
2360,Clare Island Lighthouse,Mayo
2361,Kiltale House,Meath
2362,Clifden Eco Beach Camping  Caravanning Park,Galway
2363,Silvermines Cottages,Tipperary
2364,Muldowneys BB,Donegal
2365,Emy Lake House,Monaghan
2366,Mulroy Woods Hotel,Donegal
2367,Grange Lodge,Roscommon
2368,The Three Towers Eco House  Organic Kitchen,Galway
2369,Rosegarland Estate,Wexford
2370,Steeple View,Meath
2371,Silver Spruce Lodge,Tipperary
2372,Annora,Donegal
2373,Portsalon Luxury Camping,Donegal
2374,Purecamping,Clare
2375,Rock Farm Slane,Meath
2376,The Bridge Tavern,Wicklow
2377,Pure Magic Achill,Mayo
2378,The Ballyliffin Townhouse,Donegal
2379,Royal Hotel Arklow,Wicklow
2380,The Pier Hotel,Limerick
2381,Tullybuck Cottage,Monaghan
2382,Pod Umna,Galway
2383,Binion Bay Caravan Park,Donegal
2384,Robin Hill,Cork
